Subject,AUC,domain,Income.score,Age.x,DiffMatter,Eff.Matter,X.Matter,ChallMatter,AvoidDiff,MaintainEff,ScoreMatter,Age.y
165,0.846456693,1,8,0,5,3,7,9,5,7,5,YA
165,0.641839179,0,8,0,5,3,7,9,5,7,5,YA
166,0.440944882,1,1,0,10,9,9,1,10,7,5,YA
166,0.038608001,0,1,0,10,9,9,1,10,7,5,YA
167,0.874015748,1,7,0,7,9,9,1,6,1,1,YA
167,0.27379738,0,7,0,7,9,9,1,6,1,1,YA
168,0.168326908,0,1,0,5,5,9,3,3,8,8,YA
168,0.962598425,1,1,0,5,5,9,3,3,8,8,YA
169,0.839064301,0,7,0,7,8,6,3,6,6,1,YA
169,0.909448819,1,7,0,7,8,6,3,6,6,1,YA
170,0.28787531,0,5,0,10,9,4,2,8,1,8,YA
170,0.24015748,1,5,0,10,9,4,2,8,1,8,YA
171,0.607761834,0,8,0,3,4,10,2,4,2,5,YA
171,0.712598425,1,8,0,3,4,10,2,4,2,5,YA
173,0.328323815,0,8,0,7,7,8,5,7,6,7,YA
173,0.677165354,1,8,0,7,7,8,5,7,6,7,YA
174,0.28463214,0,5,0,3,5,7,1,10,8,2,YA
174,0.755905512,1,5,0,3,5,7,1,10,8,2,YA
175,1,1,5,0,1,2,8,8,3,5,3,YA
175,0.876544569,0,5,0,1,2,8,8,3,5,3,YA
176,0.718503937,1,7,0,6,8,9,3,4,8,7,YA
176,0.188386675,0,7,0,6,8,9,3,4,8,7,YA
177,0.94488189,1,8,0,4,4,9,3,5,3,4,YA
177,0.625771643,0,8,0,4,4,9,3,5,3,4,YA
178,0.38851495,0,8,1,8,5,7,7,6,8,3,OA
178,0.651574803,1,8,1,8,5,7,7,6,8,3,OA
179,0.429133858,1,5,1,9.5,8.5,6.5,6.5,3.5,7.5,9.5,OA
179,0.576700061,0,5,1,9.5,8.5,6.5,6.5,3.5,7.5,9.5,OA
180,0.147637795,1,3,1,9,9,2,6,8,6,7,OA
180,0.2501777,0,3,1,9,9,2,6,8,6,7,OA
181,0.816929134,1,2,1,9,9,5,5,4,8,8,OA
181,0.281658774,0,2,1,9,9,5,5,4,8,8,OA
182,0.676186329,0,4,1,10,10,7,6,7,5,9,OA
182,0.661417323,1,4,1,10,10,7,6,7,5,9,OA
183,0.542208148,0,NA,NA,8,6,9,5,3,4,3,OA
183,0.893700787,1,NA,NA,8,6,9,5,3,4,3,OA
185,0.232020366,0,3,1,10,8,5,5,10,9,8,OA
185,0.192913386,1,3,1,10,8,5,5,10,9,8,OA
186,0.401429251,0,NA,NA,9,9,5,5,5,5,5,OA
186,0.179133858,1,NA,NA,9,9,5,5,5,5,5,OA
187,0.112142598,0,2,1,8,8,8,4,7,9,9,OA
187,0.287401575,1,2,1,8,8,8,4,7,9,9,OA
189,0.633221231,0,6,0,10,9,8,4,9,10,8,YA
189,0.673228346,1,6,0,10,9,8,4,9,10,8,YA
190,0.779527559,1,2,0,3,2,9,2,2,2,2,YA
190,0.368839772,0,2,0,3,2,9,2,2,2,2,YA
191,0.937007874,1,2,0,1,1,10,1,1,1,1,YA
191,0.117492922,0,2,0,1,1,10,1,1,1,1,YA
192,0.193234863,0,4,0,6,6,10,1,8,7,7,YA
192,0.848425197,1,4,0,6,6,10,1,8,7,7,YA
193,0.846968295,0,6,0,1,1,10,1,1,1,1,YA
193,1,1,6,0,1,1,10,1,1,1,1,YA
194,0.399606299,1,4,1,9,9,6,1,9,9,10,OA
194,0.229344416,0,4,1,9,9,6,1,9,9,10,OA
195,0.342519685,1,4,1,10,10,3,1,10,10,6,OA
195,0.536388824,0,4,1,10,10,3,1,10,10,6,OA
196,0.104330709,1,5,1,10,2,9,2,9,10,8,OA
196,0.223492746,0,5,1,10,2,9,2,9,10,8,OA
197,0.453357048,0,9,1,3,3,7,1,2,1,1,OA
197,0.736220472,1,9,1,3,3,7,1,2,1,1,OA
198,0.375984252,1,3,1,8,8,8,3,5,5,5,OA
198,0.24843778,0,3,1,8,8,8,3,5,5,5,OA
201,0.348425197,1,3,1,7,7,5,7,2,8,6,OA
201,0.252667075,0,3,1,7,7,5,7,2,8,6,OA
202,0.984251969,1,3,1,1,1,1,1,1,1,8,OA
202,0.194006013,0,3,1,1,1,1,1,1,1,8,OA